"id","code","collector_number","name","set_id","set_name","type","rarity","domains","energy","power","might","tags","illustrator","ability_text","image_url"
"ogn-001-298","OGN-001/298","1","Blazing Scorcher","OGN","Origins","Unit","Common","Fury","5","","5","","Envar Studio","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/15ed971e4029a92b362a81ccadf309fb81e40b81-744x1039.png?accountingTag=RB"
"ogn-002-298","OGN-002/298","2","Brazen Buccaneer","OGN","Origins","Unit","Common","Fury","6","","5","","Six More Vodka","As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by :rb_energy_2:.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d481971f7560e7235e7d6934767da18daa019eff-744x1039.png?accountingTag=RB"
"ogn-003-298","OGN-003/298","3","Chemtech Enforcer","OGN","Origins","Unit","Common","Fury","2","","2","","Six More Vodka","[Assault 2] (+2 :rb_might: while I'm an attacker.) When you play me, discard 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/19dcf211457d9c9c6e9ea0cd32af76c2c92a3160-744x1039.png?accountingTag=RB"
"ogn-004-298","OGN-004/298","4","Cleave","OGN","Origins","Spell","Common","Fury","1","","","","Kudos Productions","[Action] (Play on your turn or in showdowns.) Give a unit [Assault 3] this turn. (+3 :rb_might: while it's an attacker.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/95d476a1e88ff547fb846149619177bc7e3cea9f-744x1039.png?accountingTag=RB"
"ogn-005-298","OGN-005/298","5","Disintegrate","OGN","Origins","Spell","Common","Fury","4","","","","Kudos Productions","[Action] (Play on your turn or in showdowns.) Deal 3 to a unit at a battlefield. If this kills it, do this: draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/a27374ac3a81f3dfefb43c3c3237c23b4883cb5a-744x1039.png?accountingTag=RB"
"ogn-006-298","OGN-006/298","6","Flame Chompers","OGN","Origins","Unit","Common","Fury","3","","3","","Six More Vodka","When you discard me, you may pay :rb_rune_fury: to play me.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1f6f5ebd18e5daac30d62626fddd785c4b457c2b-744x1039.png?accountingTag=RB"
"ogn-007a-298","OGN-007a/298","7","Fury Rune","OGN","Origins","Rune","Showcase","Fury","","","","","Fairfoul","","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/09da06c69d07d4e72dde703737ef167472c715af-1488x2078.png?accountingTag=RB"
"ogn-007-298","OGN-007/298","7","Fury Rune","OGN","Origins","Rune","Common","Fury","","","","","Greg Ghielmetti & Leah Chen","","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/12bcd0cde5d9ff4640e82945001e9fef863530f1-744x1039.png?accountingTag=RB"
"ogn-008-298","OGN-008/298","8","Get Excited!","OGN","Origins","Spell","Common","Fury","2","1","","","Original Force Studio","[Action] (Play on your turn or in showdowns.) Discard 1. Deal its Energy cost as damage to a unit at a battlefield. (Ignore its Power cost.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/2906c932c482af17fbb2979a8c42a6992f95d6a6-744x1039.png?accountingTag=RB"
"ogn-009-298","OGN-009/298","9","Hextech Ray","OGN","Origins","Spell","Common","Fury","1","1","","","League of Legends","[Action] (Play on your turn or in showdowns.) Deal 3 to a unit at a battlefield.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1e7d12693822c38377ddc8f15db23e2f9b6d560a-744x1039.png?accountingTag=RB"
"ogn-010-298","OGN-010/298","10","Legion Rearguard","OGN","Origins","Unit","Common","Fury","2","","2","","Six More Vodka","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/aedece01c7792c689050460db1670e6b9b15b61f-744x1039.png?accountingTag=RB"
"ogn-011-298","OGN-011/298","11","Magma Wurm","OGN","Origins","Unit","Common","Fury","8","1","8","","Envar Studio","Other friendly units enter ready.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f6565b15f65f538804e6a56623c8aa2eedeffc22-744x1039.png?accountingTag=RB"
"ogn-012-298","OGN-012/298","12","Noxus Hopeful","OGN","Origins","Unit","Common","Fury","4","","4","","Six More Vodka","[Legion] — I cost :rb_energy_2: less. (Get the effect if you've played another card this turn.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c3bb6f4cb58feeb50e396d12ec9865c5434025af-744x1039.png?accountingTag=RB"
"ogn-013-298","OGN-013/298","13","Pouty Poro","OGN","Origins","Unit","Common","Fury","2","","2","","Caravan Studio","[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/d541bf3bcb5aa3ad0d48d87f5753569b72ac426f-744x1039.png?accountingTag=RB"
"ogn-014-298","OGN-014/298","14","Sky Splitter","OGN","Origins","Spell","Common","Fury","8","1","","","Polar Engine Studio","[Action] (Play on your turn or in showdowns.) This spell's Energy cost is reduced by the highest Might among units you control. Deal 5 to a unit at a battlefield.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/01faae468720dd5bf5e3fe12ba56c01af70263be-744x1039.png?accountingTag=RB"
"ogn-015-298","OGN-015/298","15","Captain Farron","OGN","Origins","Unit","Uncommon","Fury","4","1","5","","Six More Vodka","Other friendly units here have [Assault]. (+1 :rb_might: while they're attackers.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c65e2cae6748590f589ad8b26bc5a20c0d770c2-744x1039.png?accountingTag=RB"
"ogn-016-298","OGN-016/298","16","Dangerous Duo","OGN","Origins","Unit","Uncommon","Fury","3","","3","","Envar Studio","[Legion] — When you play me, give a unit +2 :rb_might: this turn. (Get the effect if you've played another card this turn.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3c02ea9e438d407c739276b788e015ac93843651-744x1039.png?accountingTag=RB"
"ogn-017-298","OGN-017/298","17","Iron Ballista","OGN","Origins","Gear","Uncommon","Fury","3","","","","Kudos Productions","This enters exhausted. :rb_exhaust:: Deal 2 to a unit at a battlefield.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9b5cfe757b6067994e17e284eba46433880a1461-744x1039.png?accountingTag=RB"
"ogn-018-298","OGN-018/298","18","Noxus Saboteur","OGN","Origins","Unit","Uncommon","Fury","3","","3","","Six More Vodka","Your opponents' [Hidden] cards can't be revealed here.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b78f0c822cb984db24ac3f1956cc8c10f8f88b22-744x1039.png?accountingTag=RB"
"ogn-019-298","OGN-019/298","19","Raging Soul","OGN","Origins","Unit","Uncommon","Fury","4","","4","","Six More Vodka","If you've discarded a card this turn, I have [Assault] and [Ganking]. (+1 :rb_might: while I'm an attacker. I can move from battlefield to battlefield.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/037647d0decc94ff4a5d53b11cf36afe9d849533-744x1039.png?accountingTag=RB"
"ogn-020-298","OGN-020/298","20","Scrapyard Champion","OGN","Origins","Unit","Uncommon","Fury","5","1","5","","Envar Studio","[Legion] — When you play me, discard 2, then draw 2. (Get the effect if you've played another card this turn.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/10f096d2b469fd73329386e5efe88c9bec667d7c-744x1039.png?accountingTag=RB"
"ogn-021-298","OGN-021/298","21","Sun Disc","OGN","Origins","Gear","Uncommon","Fury","2","1","","","Envar Studio",":rb_exhaust:: [Legion] — The next unit you play this turn enters ready. (Get the effect if you've played another card this turn.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/146d7514f15e6674f471f3aa9c3fadf22c0b634b-744x1039.png?accountingTag=RB"
