"id","code","collector_number","name","set_id","set_name","type","rarity","domains","energy","power","might","tags","illustrator","ability_text","image_url"
"sfd-001-221","SFD-001/221","1","Against the Odds","SFD","Spiritforged","Spell","Common","Fury","2","","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) Give a friendly unit at a battlefield +2 :rb_might: this turn for each enemy unit there.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/4c4ab0c838854ccd5d5399a045835876450287e8-744x1039.png?accountingTag=RB"
"sfd-002-221","SFD-002/221","2","Armed Assailant","SFD","Spiritforged","Unit","Common","Fury","6","1","6","","Six More Vodka","[Accelerate] (You may pay :rb_energy_1::rb_rune_fury: as an additional cost to have me enter ready.) [Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for :rb_rune_rainbow: less, even if it's already attached.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1debdef1d45f7b2a452951db39674aeb01a8dc2b-744x1039.png?accountingTag=RB"
"sfd-003-221","SFD-003/221","3","Blood Rush","SFD","Spiritforged","Spell","Common","Fury","1","","","","Rafael Zanchetin","[Action] (Play on your turn or in showdowns.) [Repeat] :rb_energy_1: (You may pay the additional cost to repeat this spell's effect.) Give a unit [Assault 2] this turn. (+2 :rb_might: while it's an attacker.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/931b77b9ab56c3abc85686be4d2452c450f9b3e0-744x1039.png?accountingTag=RB"
"sfd-t03","SFD-T03","3","Gold","SFD","Spiritforged","Gear","Common","Colorless","","","","","Kudos Productions","Kill this, :rb_exhaust:: [Reaction] — [Add] :rb_rune_rainbow:. (Abilities that add resources can't be reacted to.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e878c39b562a4e870e93b819c6d85cdf3fdc5238-744x1039.png?accountingTag=RB"
"sfd-004-221","SFD-004/221","4","Bushwhack","SFD","Spiritforged","Spell","Common","Fury","2","1","","","Kudos Productions","[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.) Friendly units enter ready this turn. Play a Gold gear token exhausted.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f728959ad6d4ee6c507310000c3c9e02c0772a16-744x1039.png?accountingTag=RB"
"sfd-005-221","SFD-005/221","5","Detonate","SFD","Spiritforged","Spell","Common","Fury","1","1","","","Kudos Productions","Kill a gear. Its controller draws 2.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e837fbd6aeeb1293386dcfa284aae5a4baca10ef-744x1039.png?accountingTag=RB"
"sfd-006-221","SFD-006/221","6","Eager Drakehound","SFD","Spiritforged","Unit","Common","Fury","3","1","3","","Michal Ivan","I enter ready.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ac0fac5af309842ba91b4b8d80e1abd47622e14a-744x1039.png?accountingTag=RB"
"sfd-007-221","SFD-007/221","7","Gem Jammer","SFD","Spiritforged","Unit","Common","Fury","2","","2","","Caravan Studio","When you play me, give a unit [Ganking] this turn. (It can move from battlefield to battlefield.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9f487e8a76e6e6b9f2e32de0c9c147be42f49e59-744x1039.png?accountingTag=RB"
"sfd-008-221","SFD-008/221","8","Sentinel Adept","SFD","Spiritforged","Unit","Common","Fury","3","","3","","Wild Blue Studios","[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for :rb_rune_rainbow: less, even if it's already attached.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/94e213b77131d9a67e51743a35fc5dff80fd79ec-744x1039.png?accountingTag=RB"
"sfd-009-221","SFD-009/221","9","Serrated Dirk","SFD","Spiritforged","Gear","Common","Fury","1","","","","黯荧岛Dark Glow","[Equip] :rb_rune_fury: (:rb_rune_fury:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9498c8146745124fc45a7b55184854a9c9da21f5-744x1039.png?accountingTag=RB"
"sfd-010-221","SFD-010/221","10","Void Drone","SFD","Spiritforged","Unit","Common","Fury","3","","3","","Wild Blue Studios","I cost :rb_energy_2: less to play from anywhere other than your hand.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/589dde45bc610eb83bc808803e4becf8a6d2da84-744x1039.png?accountingTag=RB"
"sfd-011-221","SFD-011/221","11","Angle Shot","SFD","Spiritforged","Spell","Uncommon","Fury","2","","","","Kudos Productions","[Reaction] (Play any time, even before spells and abilities resolve.) Choose a unit and an Equipment with the same controller. Attach that Equipment to that unit or detach that Equipment from that unit. Draw 1.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/757d507b684e55e333bac0ecdf2ec9ff3ad6045c-744x1039.png?accountingTag=RB"
"sfd-012-221","SFD-012/221","12","Battering Ram","SFD","Spiritforged","Unit","Uncommon","Fury","5","","5","","Six More Vodka","I cost :rb_energy_1: less for each card you've played this turn, to a minimum of :rb_energy_1:.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5661f07778201b236b014a6078003cde9af57cdd-744x1039.png?accountingTag=RB"
"sfd-013-221","SFD-013/221","13","Blast Corps Cadet","SFD","Spiritforged","Unit","Uncommon","Fury","2","","2","","Six More Vodka","You may pay :rb_energy_1::rb_rune_fury: as an additional cost to play me. When you play me, if you paid the additional cost, deal 2 to a unit at a battlefield.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/9efe5a8322a90822650ff18578cd5e1a8561fac5-744x1039.png?accountingTag=RB"
"sfd-014-221","SFD-014/221","14","Minotaur Reckoner","SFD","Spiritforged","Unit","Uncommon","Fury","5","","5","","Six More Vodka","Units can't move to base.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/77bb46cd667e59f26310797ac99686f3a4d19af5-744x1039.png?accountingTag=RB"
"sfd-015-221","SFD-015/221","15","Perched Grimwyrm","SFD","Spiritforged","Unit","Uncommon","Fury","4","","5","","Kudos Productions & 黯荧岛Dark Glow","Play me only to a battlefield you conquered this turn. (You can't play me anywhere else.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/71af1587378c1c3feabd1b148fb776e42c7d27e8-744x1039.png?accountingTag=RB"
"sfd-016-221","SFD-016/221","16","Recurve Bow","SFD","Spiritforged","Gear","Uncommon","Fury","2","","","","黯荧岛Dark Glow","[Equip] :rb_rune_fury: (:rb_rune_fury:: Attach this to a unit you control.)","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/763604237b4b59df5df98f61528be2233b850dd5-744x1039.png?accountingTag=RB"
"sfd-017-221","SFD-017/221","17","Sudden Storm","SFD","Spiritforged","Spell","Uncommon","Fury","3","","","","Kudos Productions","[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.) [Action] (Play on your turn or in showdowns.) Deal 2 to a unit at a battlefield. If it's attacking, deal 4 to it instead.","https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/ba3e8c3e95137a289dbdec88e96e5c5a9a45f2c7-744x1039.png?accountingTag=RB"
